AFFILIATENETWORKID,AFFILIATENETWORKNAME
16,Buy.at
62,FlexOffers
10,eBay
6,Amazon
18,PepperJam
52,Yahoo! Shopping
9,oneNetworkDirect
17,AffiliateWindow
90,Partnerize
15,WebGains
11,CommissionAccount
5,Kowabunga
23,BlowFish
13,CD Universe
65,BrandReward
99,Custom / Direct
12,DirectTrack
64,ShopHer
51,PriceGrabber
60,SkimLinks
50,Shopping.com
3,Performics
61,Viglink
20,Impact Radius
7,LinkConnector
26,TradeTracker
8,AffiliateFuture
21,Groupon Partner Network
24,paidonresults
2,LinkShare
25,OMG PM
22,AvantLink
4,ShareASale
1,Commission Junction
19,ConnexPlace
14,DVD Empire
63,DigiDip
28,CommissionFactory
27,clixGalore
